mkt,mech,tr_wk,ho_wk,tr_adj,ho_adj,side,dec
RTY,rev,-67.26599947937291,-142.12054326152946,-67.08267575991455,-130.53966904924476,0.044598612487611496,2
RTY,sqz,-8.1202552252327,-8.400938310481877,-8.112454215894047,-8.424053827871665,0.06329113924050633,7
RTY,sqz,-7.672942064043585,-34.8377185739893,-7.63198676501565,-35.235305473093675,-0.014448669201520912,7
RTY,xmk,-150.50206319637468,-197.25041799784364,-148.6922290298069,-196.1639886805235,-0.02683194727757728,1
RTY,orb,4.909644799757134,-24.204816761522974,4.802380921350638,-25.175668491894143,0.1016949152542373,9
RTY,imp,-42.467872634936626,-44.38280463167949,-42.46884776110395,-44.13778014734771,0.05521472392638037,3
RTY,imp,-68.95886798855324,293.1380410070594,-70.67509004305718,302.75871934469,0.0042490301126916685,2
RTY,vwr,-61.86299919496952,-38.85195484424699,-61.88298928139981,-39.28190346769708,0.06479727169382342,2
RTY,rev,-22.181235391325924,-35.81599514570571,-22.24803153378815,-35.80674893874979,0.0045662100456621,5
RTY,imp,-74.76839319161544,-109.13565139932199,-74.90198547653989,-110.05564899143562,0.07264027838190518,2
RTY,sqz,-14.728893619025584,-14.45449056385404,-14.558734102826191,-13.622331937821606,-0.18294849023090587,6
RTY,xmk,-245.41412245979322,-197.99916010123818,-242.63598800906496,-202.71010254527735,-0.037551933525087886,0
RTY,rev,-24.440461648440774,-28.014934953536116,-23.527255992734567,-30.62698841858234,0.029546400332917187,5
RTY,cal,3.951878594677359,13.637207525951945,2.4053284932891583,8.556416803676138,1.0,8
RTY,vwr,-90.87845694517853,-83.58364918855392,-90.0856793711378,-78.46587363845445,0.04890190336749634,2
RTY,rnd,37.75584879644945,-47.07302971774017,26.218155984579848,-85.95332996736667,1.0,9
RTY,imp,-101.31422924243297,-106.38037627123136,-101.03875610016173,-103.67586073662594,-0.0270024960290447,1
RTY,imp,-18.629021860567665,-5.413857031632197,-19.178505455859117,-4.6556680612470895,-0.009174311926605505,5
RTY,imp,-6.8972848769044806,18.58122388496669,-6.89484706148615,19.034288025806564,0.009836065573770493,7
RTY,xmk,-7.713415399936979,10.152627746240737,-8.20292873593753,10.277451540145604,0.04792332268370607,7
RTY,xmk,-8.810208833956906,24.996147525405007,-9.097383490236112,25.42147304537714,0.11776447105788423,6
RTY,vwr,-131.56265278198464,-259.51281367731343,-131.0331592731235,-257.93633539132975,0.033315128345166575,1
RTY,imp,-59.11466368855806,-54.69071107825083,-59.18145983102028,-57.16407143895836,0.03255813953488372,2
RTY,rnd,-7.199484172089734,-13.528871371892759,-6.9766678428544235,-12.807667229331315,-1.0,7
RTY,orb,12.204738422731637,4.078717912879374,12.263245992771544,3.990878946798173,-0.11458333333333333,9
RTY,vwr,-6.5775361616800225,-32.97005442455384,-6.502451446795478,-34.09346856969762,0.062389848431441665,7
RTY,vwr,-31.511667530419825,-43.57565375855347,-31.491677443989524,-43.5063072063841,-0.022541966426858514,4
RTY,rnd,-41.81792034430054,28.37473234613146,-53.498956702767906,-7.5097968497782785,1.0,3
RTY,rev,-128.05646082539076,72.32428881188558,-130.22172847995097,78.31583091931913,0.029368029739776952,1
RTY,rnd,-26.155725669680177,-67.48724923282099,-27.814415280311536,-72.54030133422906,1.0,4
RTY,rnd,-15.77528333022375,-18.331079498098262,-17.615346407978812,-23.684633325573603,1.0,5
RTY,xmk,-29.721312342681216,-33.78566794227323,-30.006536746625763,-33.11994104144729,0.06030855539971949,4
RTY,rnd,-29.813089259666892,-22.43016131375938,-27.018377664094007,-13.063753667416531,-1.0,4
RTY,rev,-48.84298874741728,-68.35923476324983,-48.70110789007051,-68.63199786844935,0.0732421875,3
RTY,rnd,16.175319444212295,28.08314022493379,13.285045484240905,19.192912236820625,1.0,9
RTY,imp,9.481945494234687,-3.8725452506002935,9.739378802410275,-2.818477657625875,-0.02204928664072633,9
RTY,sqz,-24.596012155044573,-10.394236473519998,-24.21181244511585,-8.660572669285761,-0.13842746400885936,5
RTY,sqz,-13.64925202081063,2.029945429101116,-13.926675415416524,0.347135763124409,0.12408759124087591,6
RTY,imp,-43.84454528733497,-11.834485745121558,-43.52616659370115,-11.413783328627385,0.08268330733229329,3
RTY,xmk,-50.5864415098354,-160.6492336464385,-53.069600294945765,-161.254860202051,0.028317008014247552,3
RTY,xmk,4.045570287605082,16.440574406042384,3.9973015423221594,16.18168061127674,0.028846153846153848,9
RTY,sqz,-0.15360009611562161,-5.48074182943196,-0.4159090351278695,-6.211192178949322,0.14835164835164835,8
RTY,xmk,-34.68483841127042,49.29976813468569,-33.76236905697456,48.87444261471356,-0.0625,4
RTY,orb,6.826927203863317,23.615569035705327,6.476369346707544,24.110241107846836,0.1518987341772152,9
